family,method,variant,sample,sequence,dataset_protocol,source_stage,source_group,source_file,literature_or_local,fair_local_run,comparison_status,rate_mib_per_frame,rate_unit,rate_scope,secondary_rate_value,secondary_rate_unit,quality_psnr,quality_ssim,quality_lpips,quality_l1,quality_middle_psnr,diagnostic_codec_psnr,diagnostic_codec_l1,quality_scope,quality_reliable_for_input_video,frame_count,keyframe_or_iframe_count,pframe_count,reference_gap,bits,max_points_per_frame,lambda_or_q,stage53_candidate,notes
ours,Mono-DFCGS uniform,uniform gap=2 q12,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.25908407752896534,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.4629721464934172,actual raw Gaussian-anchor bitstream MiB/frame,32.861038971300694,0.8950066691563453,,,28.637075394201542,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,41,,2,12,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=2 q16,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.305482534714687,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.462974136258349,actual raw Gaussian-anchor bitstream MiB/frame,32.898660801425315,0.8956256214483285,,,28.641442903834765,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,41,,2,16,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=2 q8,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.14716735886938778,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.23162738187813464,actual raw Gaussian-anchor bitstream MiB/frame,30.284168016076453,0.8400195182105641,,,28.05120917891055,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,41,,2,8,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=2 q10,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.22914789929802035,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.46296948562433693,actual raw Gaussian-anchor bitstream MiB/frame,32.41112137893495,0.8878692822691835,,,28.58975729940888,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,41,,2,10,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=2 q12,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.25908407752896534,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.4629721464934172,actual raw Gaussian-anchor bitstream MiB/frame,32.861038971300694,0.8950066691563453,,,28.637075394201542,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,41,,2,12,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=2 q16,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.305482534714687,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.462974136258349,actual raw Gaussian-anchor bitstream MiB/frame,32.898660801425315,0.8956256214483285,,,28.641442903834765,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,41,,2,16,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=3 q8,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.10051020869502315,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.15818521711561415,actual raw Gaussian-anchor bitstream MiB/frame,28.715948017176355,0.79551124204824,,,26.749031858797746,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,28,,3,8,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=3 q10,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.15652438740671418,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.31617454246238424,actual raw Gaussian-anchor bitstream MiB/frame,30.238699509706592,0.8383525131661215,,,27.111913952528603,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,28,,3,10,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=3 q12,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.17696381792610075,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.31617655577483,actual raw Gaussian-anchor bitstream MiB/frame,30.55136470685515,0.8440188147403576,,,27.14399871585469,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,28,,3,12,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=3 q16,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.20868780583511165,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.316178180553295,actual raw Gaussian-anchor bitstream MiB/frame,30.577131859853743,0.8445212774806552,,,27.14632274874588,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,28,,3,16,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=3 q8,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.1005292350863233,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.15818471084406346,actual raw Gaussian-anchor bitstream MiB/frame,29.14143570467914,0.8104948872401391,,,27.38678941855588,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,28,,3,8,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=3 q10,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.15650808075327932,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.3161741186071325,actual raw Gaussian-anchor bitstream MiB/frame,30.69838737329737,0.852934945512701,,,27.8153414157146,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,28,,3,10,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=3 q12,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.17697468510380499,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.3161759317657094,actual raw Gaussian-anchor bitstream MiB/frame,31.008070746658586,0.8587558975926152,,,27.847309644899557,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,28,,3,12,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=3 q16,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.2086481989165883,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.3161774152590905,actual raw Gaussian-anchor bitstream MiB/frame,31.035660197894455,0.8593405345339834,,,27.851849230668062,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,28,,3,16,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=4 q8,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.07539937525619696,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.11863927487973813,actual raw Gaussian-anchor bitstream MiB/frame,27.987355651411722,0.7754659476103606,,,26.430526153832265,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,21,,4,8,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=4 q10,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.11739946294713903,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.23713140134458188,actual raw Gaussian-anchor bitstream MiB/frame,29.195280778410165,0.8147455755575204,,,26.76349371937122,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,21,,4,10,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=4 q12,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.1327268694653923,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.23713277887415002,actual raw Gaussian-anchor bitstream MiB/frame,29.445403862364344,0.8199508881863252,,,26.800418793245036,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,21,,4,12,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=4 q16,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.15649935639934776,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.2371336383584105,actual raw Gaussian-anchor bitstream MiB/frame,29.465500058827118,0.8204226361380683,,,26.803197544083066,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,21,,4,16,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=4 q8,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.07539937525619696,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.11863927487973813,actual raw Gaussian-anchor bitstream MiB/frame,27.987355651411722,0.7754659476103606,,,26.430526153832265,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,21,,4,8,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=4 q10,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.11739946294713903,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.23713140134458188,actual raw Gaussian-anchor bitstream MiB/frame,29.195280778410165,0.8147455755575204,,,26.76349371937122,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,21,,4,10,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=4 q12,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.1327268694653923,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.23713277887415002,actual raw Gaussian-anchor bitstream MiB/frame,29.445403862364344,0.8199508881863252,,,26.800418793245036,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,21,,4,12,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=4 q16,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.15649935639934776,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.2371336383584105,actual raw Gaussian-anchor bitstream MiB/frame,29.465500058827118,0.8204226361380683,,,26.803197544083066,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,21,,4,16,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=8 q8,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.03951442388840663,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.06214517428551191,actual raw Gaussian-anchor bitstream MiB/frame,25.776341229195026,0.7062944946465669,,,24.735042955414524,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,11,,8,8,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=8 q10,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.061530077898943866,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.12421231210967641,actual raw Gaussian-anchor bitstream MiB/frame,26.471469318720406,0.7393747987570586,,,24.95368345101781,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,11,,8,10,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=8 q12,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.06954709983166353,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.124212959666311,actual raw Gaussian-anchor bitstream MiB/frame,26.61089521703461,0.7433589704242753,,,24.977425665979684,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,11,,8,12,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=8 q16,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.08198528525270062,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.12421346593786169,actual raw Gaussian-anchor bitstream MiB/frame,26.622197512390834,0.743725210060308,,,24.980012139719918,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,11,,8,16,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=8 q8,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.039526421346782165,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.06214477397777416,actual raw Gaussian-anchor bitstream MiB/frame,25.80974233483715,0.7058368413536636,,,24.76714145397411,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,11,,8,8,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=8 q10,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.061536282668879005,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.12421211195580753,actual raw Gaussian-anchor bitstream MiB/frame,26.503113343506794,0.7389495777495113,,,24.982480278523067,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,11,,8,10,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=8 q12,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.06956673845832731,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.12421283015498409,actual raw Gaussian-anchor bitstream MiB/frame,26.63558444575655,0.7432659599516127,,,25.004492264861337,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,11,,8,12,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=8 q16,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.08200946854956356,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.12421331287902078,actual raw Gaussian-anchor bitstream MiB/frame,26.64654867684984,0.7436232559474898,,,25.006562260274976,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,11,,8,16,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=16 q8,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.021583274558738427,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.03389789440013744,actual raw Gaussian-anchor bitstream MiB/frame,23.804673762790383,0.6359695516250752,,,23.118411498163656,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,6,,16,8,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=16 q10,driving,driving,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.03360705905490451,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.06775275571846667,actual raw Gaussian-anchor bitstream MiB/frame,24.211052296299435,0.6631092053872568,,,23.25785456922345,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,6,,16,10,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
