parameter,shape,numel,policy,matched_rule,reason
model.gaussian_upsampler.attention_1.resblocks.0.attn.packed_proj.bias,[576],576,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.0.attn.out_proj.weight,"[192, 192]",36864,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.0.attn.out_proj.bias,[192],192,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.0.layernorm1.weight,[192],192,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.0.mlp.c_fc.weight,"[768, 192]",147456,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.0.mlp.c_proj.weight,"[192, 768]",147456,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.0.layernorm2.weight,[192],192,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.1.attn.packed_proj.weight,"[576, 192]",110592,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.1.attn.packed_proj.bias,[576],576,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.1.attn.out_proj.weight,"[192, 192]",36864,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.1.attn.out_proj.bias,[192],192,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.1.layernorm1.weight,[192],192,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.1.mlp.c_fc.weight,"[768, 192]",147456,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.1.mlp.c_proj.weight,"[192, 768]",147456,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.1.layernorm2.weight,[192],192,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.layernorm2.weight,[192],192,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gs_predictor.encoder.transformer_encoder.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.0.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.0.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.0.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.0.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.0.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.0.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.0.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.0.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.1.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.1.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.1.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.1.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.1.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.1.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.1.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.1.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.2.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.2.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.2.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.2.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.2.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.2.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.2.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.2.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.3.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.3.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.3.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.3.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.3.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.3.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.3.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.3.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.4.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.4.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.4.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.4.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.4.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.4.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.4.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.4.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.5.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.5.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.5.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.5.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.5.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.5.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.5.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.5.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.6.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.6.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.6.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.6.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.6.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.6.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.6.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.6.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.7.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.7.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.7.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.7.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.7.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.7.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.7.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.7.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.8.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.8.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.8.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.8.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.8.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.8.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.8.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.8.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.9.attn.packed_proj.weight,"[2304, 768]",1769472,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.9.attn.packed_proj.bias,[2304],2304,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.9.attn.out_proj.weight,"[768, 768]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.9.attn.out_proj.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.9.layernorm1.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.9.mlp.c_fc.weight,"[3072, 768]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.9.mlp.c_proj.weight,"[768, 3072]",2359296,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.transformer.resblocks.9.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.layernorm2.weight,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.encoder.transformer_encoder.conv.weight,"[768, 4, 8, 8]",196608,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.upsampler_0.residual_fc.weight,"[1536, 768]",1179648,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.upsampler_0.residual_fc.bias,[1536],1536,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.0.attn.packed_proj.weight,"[1152, 384]",442368,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.0.attn.packed_proj.bias,[1152],1152,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.0.attn.out_proj.weight,"[384, 384]",147456,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.0.attn.out_proj.bias,[384],384,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.0.layernorm1.weight,[384],384,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.0.mlp.c_fc.weight,"[1536, 384]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.0.mlp.c_proj.weight,"[384, 1536]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.0.layernorm2.weight,[384],384,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.1.attn.packed_proj.weight,"[1152, 384]",442368,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.1.attn.packed_proj.bias,[1152],1152,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.1.attn.out_proj.weight,"[384, 384]",147456,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.1.attn.out_proj.bias,[384],384,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.1.layernorm1.weight,[384],384,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.1.mlp.c_fc.weight,"[1536, 384]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.1.mlp.c_proj.weight,"[384, 1536]",589824,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_0.resblocks.1.layernorm2.weight,[384],384,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.upsampler_1.residual_fc.weight,"[768, 384]",294912,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.upsampler_1.residual_fc.bias,[768],768,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.0.attn.packed_proj.weight,"[576, 192]",110592,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.0.attn.packed_proj.bias,[576],576,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.0.attn.out_proj.weight,"[192, 192]",36864,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.0.attn.out_proj.bias,[192],192,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.0.layernorm1.weight,[192],192,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.0.mlp.c_fc.weight,"[768, 192]",147456,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.0.mlp.c_proj.weight,"[192, 768]",147456,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.0.layernorm2.weight,[192],192,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.1.attn.packed_proj.weight,"[576, 192]",110592,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.1.attn.packed_proj.bias,[576],576,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.1.attn.out_proj.weight,"[192, 192]",36864,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.1.attn.out_proj.bias,[192],192,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.1.layernorm1.weight,[192],192,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.1.mlp.c_fc.weight,"[768, 192]",147456,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.1.mlp.c_proj.weight,"[192, 768]",147456,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.attention_1.resblocks.1.layernorm2.weight,[192],192,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.gaussian_upsampler.layernorm2.weight,[192],192,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.predictor.gs_layer.rgb.weight,"[3, 192]",576,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.predictor.gs_layer.rgb.bias,[3],3,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.predictor.gs_layer.opacity.weight,"[1, 192]",192,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.predictor.gs_layer.opacity.bias,[1],1,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.predictor.gs_layer.scale.weight,"[2, 192]",384,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.predictor.gs_layer.scale.bias,[2],2,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.predictor.gs_layer.xyz_static.weight,"[3, 192]",576,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.gs_predictor.predictor.gs_layer.xyz_static.bias,[3],3,freeze,model.gs_predictor,Static encoder and static Gaussian predictor inherited from StreamSplat.
model.condition_encoder.model.cls_token,"[1, 1, 768]",768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.pos_embed,"[1, 1370, 768]",1052160,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.register_tokens,"[1, 4, 768]",3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.patch_embed.proj.weight,"[768, 3, 14, 14]",451584,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.patch_embed.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
