dataset,split,sequence,gap,frame_count,pair_count,unique_anchor_count,estimated_pair_pt_mib,estimated_dedup_static_anchor_mib,ready_for_anchor_export
DAVIS,val,mbike-trick,16,79,5,6,9.140625,5.484375,true
DAVIS,val,motocross-jump,1,40,39,40,71.296875,36.5625,true
DAVIS,val,motocross-jump,2,40,20,21,36.5625,19.1953125,true
DAVIS,val,motocross-jump,4,40,10,11,18.28125,10.0546875,true
DAVIS,val,motocross-jump,8,40,5,6,9.140625,5.484375,true
DAVIS,val,motocross-jump,16,40,3,4,5.484375,3.65625,true
DAVIS,val,paragliding-launch,1,80,79,80,144.421875,73.125,true
DAVIS,val,paragliding-launch,2,80,40,41,73.125,37.4765625,true
DAVIS,val,paragliding-launch,4,80,20,21,36.5625,19.1953125,true
DAVIS,val,paragliding-launch,8,80,10,11,18.28125,10.0546875,true
DAVIS,val,paragliding-launch,16,80,5,6,9.140625,5.484375,true
DAVIS,val,parkour,1,100,99,100,180.984375,91.40625,true
DAVIS,val,parkour,2,100,50,51,91.40625,46.6171875,true
DAVIS,val,parkour,4,100,25,26,45.703125,23.765625,true
DAVIS,val,parkour,8,100,13,14,23.765625,12.796875,true
DAVIS,val,parkour,16,100,7,8,12.796875,7.3125,true
DAVIS,val,pigs,1,79,78,79,142.59375,72.2109375,true
DAVIS,val,pigs,2,79,39,40,71.296875,36.5625,true
DAVIS,val,pigs,4,79,20,21,36.5625,19.1953125,true
DAVIS,val,pigs,8,79,10,11,18.28125,10.0546875,true
DAVIS,val,pigs,16,79,5,6,9.140625,5.484375,true
DAVIS,val,scooter-black,1,43,42,43,76.78125,39.3046875,true
DAVIS,val,scooter-black,2,43,21,22,38.390625,20.109375,true
DAVIS,val,scooter-black,4,43,11,12,20.109375,10.96875,true
DAVIS,val,scooter-black,8,43,6,7,10.96875,6.3984375,true
DAVIS,val,scooter-black,16,43,3,4,5.484375,3.65625,true
DAVIS,val,shooting,1,40,39,40,71.296875,36.5625,true
DAVIS,val,shooting,2,40,20,21,36.5625,19.1953125,true
DAVIS,val,shooting,4,40,10,11,18.28125,10.0546875,true
DAVIS,val,shooting,8,40,5,6,9.140625,5.484375,true
DAVIS,val,shooting,16,40,3,4,5.484375,3.65625,true
DAVIS,val,soapbox,1,99,98,99,179.15625,90.4921875,true
DAVIS,val,soapbox,2,99,49,50,89.578125,45.703125,true
DAVIS,val,soapbox,4,99,25,26,45.703125,23.765625,true
DAVIS,val,soapbox,8,99,13,14,23.765625,12.796875,true
DAVIS,val,soapbox,16,99,7,8,12.796875,7.3125,true
