measurement_key,sequence,frame_index,used_by_schedules,schedule_count
keyframe::judo:00024,judo,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::judo:00028,judo,28,uniform_gap4,1
keyframe::judo:00032,judo,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::judo:00033,judo,33,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::kite-surf:00000,kite-surf,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::kite-surf:00002,kite-surf,2,stage165_adaptive,1
keyframe::kite-surf:00004,kite-surf,4,uniform_gap4,1
keyframe::kite-surf:00006,kite-surf,6,stage165_adaptive,1
keyframe::kite-surf:00008,kite-surf,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::kite-surf:00012,kite-surf,12,uniform_gap4,1
keyframe::kite-surf:00016,kite-surf,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::kite-surf:00020,kite-surf,20,uniform_gap4,1
keyframe::kite-surf:00024,kite-surf,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::kite-surf:00028,kite-surf,28,uniform_gap4,1
keyframe::kite-surf:00032,kite-surf,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::kite-surf:00036,kite-surf,36,uniform_gap4,1
keyframe::kite-surf:00040,kite-surf,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::kite-surf:00044,kite-surf,44,uniform_gap4,1
keyframe::kite-surf:00048,kite-surf,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::kite-surf:00049,kite-surf,49,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::lab-coat:00000,lab-coat,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::lab-coat:00004,lab-coat,4,uniform_gap4,1
keyframe::lab-coat:00008,lab-coat,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::lab-coat:00012,lab-coat,12,uniform_gap4,1
keyframe::lab-coat:00016,lab-coat,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::lab-coat:00020,lab-coat,20,uniform_gap4,1
keyframe::lab-coat:00024,lab-coat,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::lab-coat:00028,lab-coat,28,uniform_gap4,1
keyframe::lab-coat:00032,lab-coat,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::lab-coat:00035,lab-coat,35,stage165_adaptive,1
keyframe::lab-coat:00036,lab-coat,36,stage165_adaptive uniform_gap4,2
keyframe::lab-coat:00040,lab-coat,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::lab-coat:00044,lab-coat,44,uniform_gap4,1
keyframe::lab-coat:00046,lab-coat,46,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::libby:00000,libby,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::libby:00004,libby,4,uniform_gap4,1
keyframe::libby:00008,libby,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::libby:00012,libby,12,uniform_gap4,1
keyframe::libby:00016,libby,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::libby:00017,libby,17,stage165_adaptive,1
keyframe::libby:00020,libby,20,uniform_gap4,1
keyframe::libby:00024,libby,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::libby:00028,libby,28,uniform_gap4,1
keyframe::libby:00029,libby,29,stage165_adaptive,1
keyframe::libby:00032,libby,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::libby:00036,libby,36,uniform_gap4,1
keyframe::libby:00038,libby,38,stage165_adaptive,1
keyframe::libby:00040,libby,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::libby:00044,libby,44,uniform_gap4,1
keyframe::libby:00048,libby,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::loading:00000,loading,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::loading:00004,loading,4,uniform_gap4,1
keyframe::loading:00008,loading,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::loading:00012,loading,12,uniform_gap4,1
keyframe::loading:00013,loading,13,stage165_adaptive,1
keyframe::loading:00016,loading,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::loading:00020,loading,20,uniform_gap4,1
keyframe::loading:00024,loading,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::loading:00028,loading,28,uniform_gap4,1
keyframe::loading:00032,loading,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::loading:00035,loading,35,stage165_adaptive,1
keyframe::loading:00036,loading,36,uniform_gap4,1
keyframe::loading:00038,loading,38,stage165_adaptive,1
keyframe::loading:00040,loading,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::loading:00044,loading,44,uniform_gap4,1
keyframe::loading:00048,loading,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::loading:00049,loading,49,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00000,mbike-trick,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00004,mbike-trick,4,uniform_gap4,1
keyframe::mbike-trick:00008,mbike-trick,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00012,mbike-trick,12,uniform_gap4,1
keyframe::mbike-trick:00016,mbike-trick,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00020,mbike-trick,20,uniform_gap4,1
keyframe::mbike-trick:00024,mbike-trick,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00028,mbike-trick,28,uniform_gap4,1
keyframe::mbike-trick:00032,mbike-trick,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00036,mbike-trick,36,uniform_gap4,1
keyframe::mbike-trick:00040,mbike-trick,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00044,mbike-trick,44,uniform_gap4,1
keyframe::mbike-trick:00048,mbike-trick,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00052,mbike-trick,52,uniform_gap4,1
keyframe::mbike-trick:00056,mbike-trick,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00060,mbike-trick,60,uniform_gap4,1
keyframe::mbike-trick:00064,mbike-trick,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00068,mbike-trick,68,uniform_gap4,1
keyframe::mbike-trick:00072,mbike-trick,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::mbike-trick:00076,mbike-trick,76,uniform_gap4,1
keyframe::mbike-trick:00078,mbike-trick,78,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::motocross-jump:00000,motocross-jump,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::motocross-jump:00004,motocross-jump,4,uniform_gap4,1
keyframe::motocross-jump:00008,motocross-jump,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::motocross-jump:00012,motocross-jump,12,uniform_gap4,1
keyframe::motocross-jump:00013,motocross-jump,13,stage165_adaptive,1
keyframe::motocross-jump:00016,motocross-jump,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::motocross-jump:00020,motocross-jump,20,uniform_gap4,1
keyframe::motocross-jump:00022,motocross-jump,22,stage165_adaptive,1
keyframe::motocross-jump:00023,motocross-jump,23,stage165_adaptive,1
keyframe::motocross-jump:00024,motocross-jump,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::motocross-jump:00028,motocross-jump,28,uniform_gap4,1
keyframe::motocross-jump:00032,motocross-jump,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::motocross-jump:00036,motocross-jump,36,uniform_gap4,1
keyframe::motocross-jump:00039,motocross-jump,39,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00000,paragliding-launch,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00004,paragliding-launch,4,uniform_gap4,1
keyframe::paragliding-launch:00008,paragliding-launch,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00012,paragliding-launch,12,uniform_gap4,1
keyframe::paragliding-launch:00016,paragliding-launch,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00020,paragliding-launch,20,uniform_gap4,1
keyframe::paragliding-launch:00024,paragliding-launch,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00028,paragliding-launch,28,uniform_gap4,1
keyframe::paragliding-launch:00032,paragliding-launch,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00036,paragliding-launch,36,uniform_gap4,1
keyframe::paragliding-launch:00040,paragliding-launch,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00044,paragliding-launch,44,uniform_gap4,1
keyframe::paragliding-launch:00048,paragliding-launch,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00052,paragliding-launch,52,uniform_gap4,1
keyframe::paragliding-launch:00056,paragliding-launch,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00060,paragliding-launch,60,uniform_gap4,1
keyframe::paragliding-launch:00064,paragliding-launch,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00068,paragliding-launch,68,uniform_gap4,1
keyframe::paragliding-launch:00072,paragliding-launch,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::paragliding-launch:00076,paragliding-launch,76,uniform_gap4,1
keyframe::paragliding-launch:00079,paragliding-launch,79,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00000,parkour,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00004,parkour,4,uniform_gap4,1
keyframe::parkour:00008,parkour,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00012,parkour,12,uniform_gap4,1
keyframe::parkour:00016,parkour,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00020,parkour,20,uniform_gap4,1
keyframe::parkour:00024,parkour,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00028,parkour,28,uniform_gap4,1
keyframe::parkour:00032,parkour,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00034,parkour,34,stage165_adaptive,1
keyframe::parkour:00036,parkour,36,uniform_gap4,1
keyframe::parkour:00040,parkour,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00044,parkour,44,uniform_gap4,1
keyframe::parkour:00048,parkour,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00052,parkour,52,uniform_gap4,1
keyframe::parkour:00056,parkour,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00060,parkour,60,uniform_gap4,1
keyframe::parkour:00064,parkour,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00068,parkour,68,uniform_gap4,1
keyframe::parkour:00072,parkour,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00076,parkour,76,uniform_gap4,1
keyframe::parkour:00080,parkour,80,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00084,parkour,84,uniform_gap4,1
keyframe::parkour:00087,parkour,87,stage165_adaptive,1
keyframe::parkour:00088,parkour,88,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00090,parkour,90,stage165_adaptive,1
keyframe::parkour:00092,parkour,92,uniform_gap4,1
keyframe::parkour:00096,parkour,96,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::parkour:00099,parkour,99,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00000,pigs,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00004,pigs,4,uniform_gap4,1
keyframe::pigs:00008,pigs,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00012,pigs,12,uniform_gap4,1
keyframe::pigs:00016,pigs,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00020,pigs,20,uniform_gap4,1
keyframe::pigs:00024,pigs,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00028,pigs,28,uniform_gap4,1
keyframe::pigs:00032,pigs,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00036,pigs,36,uniform_gap4,1
keyframe::pigs:00040,pigs,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00044,pigs,44,uniform_gap4,1
keyframe::pigs:00048,pigs,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00052,pigs,52,uniform_gap4,1
keyframe::pigs:00056,pigs,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00060,pigs,60,uniform_gap4,1
keyframe::pigs:00064,pigs,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00068,pigs,68,uniform_gap4,1
keyframe::pigs:00072,pigs,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::pigs:00076,pigs,76,uniform_gap4,1
keyframe::pigs:00078,pigs,78,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::scooter-black:00000,scooter-black,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::scooter-black:00004,scooter-black,4,stage165_adaptive uniform_gap4,2
keyframe::scooter-black:00008,scooter-black,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::scooter-black:00010,scooter-black,10,stage165_adaptive,1
keyframe::scooter-black:00012,scooter-black,12,uniform_gap4,1
keyframe::scooter-black:00016,scooter-black,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::scooter-black:00020,scooter-black,20,uniform_gap4,1
keyframe::scooter-black:00024,scooter-black,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::scooter-black:00027,scooter-black,27,stage165_adaptive,1
keyframe::scooter-black:00028,scooter-black,28,uniform_gap4,1
keyframe::scooter-black:00032,scooter-black,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::scooter-black:00036,scooter-black,36,uniform_gap4,1
keyframe::scooter-black:00037,scooter-black,37,stage165_adaptive,1
keyframe::scooter-black:00040,scooter-black,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::scooter-black:00042,scooter-black,42,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::shooting:00000,shooting,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::shooting:00004,shooting,4,uniform_gap4,1
keyframe::shooting:00007,shooting,7,stage165_adaptive,1
keyframe::shooting:00008,shooting,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::shooting:00009,shooting,9,stage165_adaptive,1
keyframe::shooting:00012,shooting,12,stage165_adaptive uniform_gap4,2
keyframe::shooting:00016,shooting,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::shooting:00019,shooting,19,stage165_adaptive,1
keyframe::shooting:00020,shooting,20,uniform_gap4,1
keyframe::shooting:00024,shooting,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::shooting:00028,shooting,28,uniform_gap4,1
keyframe::shooting:00032,shooting,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::shooting:00036,shooting,36,uniform_gap4,1
keyframe::shooting:00039,shooting,39,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00000,soapbox,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00004,soapbox,4,uniform_gap4,1
keyframe::soapbox:00008,soapbox,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00012,soapbox,12,uniform_gap4,1
keyframe::soapbox:00016,soapbox,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00020,soapbox,20,uniform_gap4,1
keyframe::soapbox:00024,soapbox,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00028,soapbox,28,uniform_gap4,1
keyframe::soapbox:00032,soapbox,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00036,soapbox,36,uniform_gap4,1
keyframe::soapbox:00040,soapbox,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00044,soapbox,44,uniform_gap4,1
keyframe::soapbox:00048,soapbox,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00049,soapbox,49,stage165_adaptive,1
keyframe::soapbox:00052,soapbox,52,uniform_gap4,1
keyframe::soapbox:00056,soapbox,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00060,soapbox,60,uniform_gap4,1
keyframe::soapbox:00061,soapbox,61,stage165_adaptive,1
keyframe::soapbox:00064,soapbox,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00068,soapbox,68,uniform_gap4,1
keyframe::soapbox:00072,soapbox,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00076,soapbox,76,uniform_gap4,1
keyframe::soapbox:00078,soapbox,78,stage165_adaptive,1
keyframe::soapbox:00080,soapbox,80,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00084,soapbox,84,uniform_gap4,1
keyframe::soapbox:00088,soapbox,88,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00092,soapbox,92,uniform_gap4,1
keyframe::soapbox:00096,soapbox,96,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::soapbox:00098,soapbox,98,stage165_adaptive uniform_gap4 uniform_gap8,3
